File,Iterations,BeesNumber,Limit,Operator,MaxTime,TotalCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,ExecutionTime
R201.txt,100,25,20,SwapMove,600,0,4253,2956,264,1900,9373,600585
R201.txt,100,25,20,InsertMove,600,0,3173,3253,524,1900,8850,600571
R201.txt,100,25,20,ReverseMove,600,0,5925,3252,605,1900,11682,600665
R201.txt,100,25,20,TwoOptMove,600,0,12457,3513,832,2100,18902,600689
R201.txt,100,25,40,SwapMove,600,0,2724,3285,68,2100,8177,600938
R201.txt,100,25,40,InsertMove,600,0,2178,3221,40,1900,7339,600653
R201.txt,100,25,40,ReverseMove,600,0,5423,3255,286,2200,11164,600553
R201.txt,100,25,40,TwoOptMove,600,0,11264,3561,874,1900,17599,600942
R201.txt,100,50,20,SwapMove,600,0,3204,3292,308,2100,8904,601090
R201.txt,100,50,20,InsertMove,600,0,2778,3122,163,2100,8163,601089
R201.txt,100,50,20,ReverseMove,600,0,7250,3444,648,2100,13442,601913
R201.txt,100,50,20,TwoOptMove,600,0,11915,3409,222,2100,17646,601862
R201.txt,100,50,40,SwapMove,600,0,2213,3089,95,2100,7497,600999
R201.txt,100,50,40,InsertMove,600,0,1781,3227,48,1900,6956,600985
R201.txt,100,50,40,ReverseMove,600,0,3934,3583,249,2400,10166,601014
R201.txt,100,50,40,TwoOptMove,600,0,10620,3239,360,2900,17119,601202
R201.txt,100,75,20,SwapMove,600,0,2498,3603,603,1800,8504,601500
R201.txt,100,75,20,InsertMove,600,0,2609,3086,415,1600,7710,601490
R201.txt,100,75,20,ReverseMove,600,0,6899,3452,328,2200,12879,601501
R201.txt,100,75,20,TwoOptMove,600,0,11493,3465,695,2100,17753,601789
R201.txt,100,75,40,SwapMove,600,0,1995,3180,398,1800,7373,601736
R201.txt,100,75,40,InsertMove,600,0,1402,3339,4,2200,6945,601463
R201.txt,100,75,40,ReverseMove,600,0,5749,3304,476,2100,11629,601816
R201.txt,100,75,40,TwoOptMove,600,0,10618,3386,584,2000,16588,601776
