File,Iterations,BeesNumber,Limit,Operator,MaxTime,TotalCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,ExecutionTime
RC201.txt,100,25,20,SwapMove,600,0,5028,3737,616,2100,11481,600898
RC201.txt,100,25,20,InsertMove,600,0,3003,4269,446,2500,10218,600975
RC201.txt,100,25,20,ReverseMove,600,0,8867,4401,695,2500,16463,600991
RC201.txt,100,25,20,TwoOptMove,600,0,12591,4352,1082,2400,20425,600659
RC201.txt,100,25,40,SwapMove,600,0,2776,4171,451,2200,9598,600673
RC201.txt,100,25,40,InsertMove,600,0,1821,4161,27,2500,8509,600573
RC201.txt,100,25,40,ReverseMove,600,0,5236,4538,1049,2400,13223,600671
RC201.txt,100,25,40,TwoOptMove,600,0,11046,4476,1064,2400,18986,600554
RC201.txt,100,50,20,SwapMove,600,0,3596,4263,336,2200,10395,601567
RC201.txt,100,50,20,InsertMove,600,0,3167,3960,288,2100,9515,601940
RC201.txt,100,50,20,ReverseMove,600,0,7074,4498,1017,2500,15089,601334
RC201.txt,100,50,20,TwoOptMove,600,0,11371,4472,292,2800,18935,601347
RC201.txt,100,50,40,SwapMove,600,0,2383,3956,356,2000,8695,600995
RC201.txt,100,50,40,InsertMove,600,0,2027,3695,85,2100,7907,601007
RC201.txt,100,50,40,ReverseMove,600,0,4415,4415,568,2800,12198,601244
RC201.txt,100,50,40,TwoOptMove,600,0,10132,4481,723,2400,17736,601018
RC201.txt,100,75,20,SwapMove,600,0,2942,3869,947,2100,9858,601503
RC201.txt,100,75,20,InsertMove,600,0,2438,3666,180,2100,8384,601521
RC201.txt,100,75,20,ReverseMove,600,0,6743,4359,723,2400,14225,601836
RC201.txt,100,75,20,TwoOptMove,600,0,11234,4328,1526,2200,19288,601489
RC201.txt,100,75,40,SwapMove,600,0,2534,3841,117,2100,8592,601495
RC201.txt,100,75,40,InsertMove,600,0,1820,3957,85,2100,7962,601509
RC201.txt,100,75,40,ReverseMove,600,0,2630,4633,1327,2400,10990,601543
RC201.txt,100,75,40,TwoOptMove,600,0,11165,4403,108,2300,17976,601493
