File,Iterations,BeesNumber,Limit,Operator,MaxTime,TotalCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,ExecutionTime
R101.txt,100,25,20,SwapMove,600,0,4267,2406,1758,3600,12031,600765
R101.txt,100,25,20,InsertMove,600,0,3763,2398,1706,3600,11467,600763
R101.txt,100,25,20,ReverseMove,600,0,5121,2862,2421,3600,14004,600925
R101.txt,100,25,20,TwoOptMove,600,0,6249,3041,2970,3600,15860,601150
R101.txt,100,25,40,SwapMove,600,0,3425,2396,1646,3800,11267,600649
R101.txt,100,25,40,InsertMove,600,0,3185,2231,1799,3400,10615,601107
R101.txt,100,25,40,ReverseMove,600,0,5073,2863,2572,3600,14108,600628
R101.txt,100,25,40,TwoOptMove,600,0,6015,3060,2627,3700,15402,600633
R101.txt,100,50,20,SwapMove,600,0,4065,2230,1672,3400,11367,601545
R101.txt,100,50,20,InsertMove,600,0,2915,2360,1708,3600,10583,601526
R101.txt,100,50,20,ReverseMove,600,0,5065,2692,2261,3600,13618,602232
R101.txt,100,50,20,TwoOptMove,600,0,6360,3210,2766,3700,16036,601266
R101.txt,100,50,40,SwapMove,600,0,3272,2193,1480,3700,10645,601395
R101.txt,100,50,40,InsertMove,600,0,3022,2156,1351,3500,10029,601169
R101.txt,100,50,40,ReverseMove,600,0,4327,2857,2492,3600,13276,601143
R101.txt,100,50,40,TwoOptMove,600,0,5627,3034,2588,3500,14749,601384
R101.txt,100,75,20,SwapMove,600,0,3589,2427,1496,3700,11212,601710
R101.txt,100,75,20,InsertMove,600,0,3172,2272,1611,3600,10655,601701
R101.txt,100,75,20,ReverseMove,600,0,5739,2791,2756,3100,14386,601751
R101.txt,100,75,20,TwoOptMove,600,0,5887,3028,2565,3800,15280,601741
R101.txt,100,75,40,SwapMove,600,0,3178,2076,1495,3600,10349,602057
R101.txt,100,75,40,InsertMove,600,0,2884,2216,1467,3500,10067,601753
R101.txt,100,75,40,ReverseMove,600,0,3982,2593,2119,3600,12294,601721
R101.txt,100,75,40,TwoOptMove,600,0,5275,3057,2806,3600,14738,601995
