File,GrandTotal_Greedy,GrandTotal_Tabu,GrandTotal_Bee
C101.txt,22951,15363,20685
C102.txt,21642,12009,16197
C103.txt,15174,9456,13458
C104.txt,13685,7676,9812
C105.txt,19606,11497,12112
C106.txt,17783,10614,16425
C107.txt,16291,9735,14827
C108.txt,15053,8347,13482
C109.txt,12625,7404,11161
C201.txt,45135,12734,17378
C202.txt,33183,8164,12725
C203.txt,29802,8296,8543
C204.txt,17995,4523,6159
C205.txt,37493,6375,7616
C206.txt,29765,6753,8356
C207.txt,27528,5937,8440
C208.txt,27714,5664,6977
R101.txt,10924,8338,9873
R102.txt,10044,7087,8190
R103.txt,8889,6468,7670
R104.txt,8041,5864,6789
R105.txt,9526,7226,7390
R106.txt,8709,6406,7695
R107.txt,8801,6233,7101
R108.txt,7349,5572,6600
R109.txt,7826,6258,7148
R110.txt,7839,6192,7137
R111.txt,7626,5972,7138
R112.txt,7197,5417,6481
R201.txt,13334,3957,6360
R202.txt,11176,3432,5117
R203.txt,9932,3257,4567
R204.txt,8933,2530,3616
R205.txt,9871,3042,4425
R206.txt,8324,2661,4170
R207.txt,7808,2732,3616
R208.txt,6621,2347,3103
R209.txt,9256,2833,4044
R210.txt,10457,3048,4403
R211.txt,10023,2503,3699
RC101.txt,10764,8047,9895
RC102.txt,10081,7592,9219
RC103.txt,9318,7034,8396
RC104.txt,8766,6051,7474
RC105.txt,10583,7750,8618
RC106.txt,10601,7391,8369
RC107.txt,9079,6361,8069
RC108.txt,8917,6362,7398
RC201.txt,13946,4341,7588
RC202.txt,12282,4777,6328
RC203.txt,11046,4334,5415
RC204.txt,8973,2999,4320
RC205.txt,13477,4896,5292
RC206.txt,11250,3525,6041
RC207.txt,10549,3471,5276
RC208.txt,10028,2954,4818
