File,Iterations,BeesNumber,Limit,Operator,MaxTime,TotalCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,GTR,ExecutionTime
R101.txt,100,75,40,1,600,0,3231,1711,1782,2700,9424,0;82;11;90;20;1;70;0;27;83;31;69;0;72;21;73;67;25;4;55;0;10;9;3;0;28;33;65;71;35;66;32;0;6;45;84;5;86;38;44;100;96;0;0;59;92;42;98;16;14;37;58;89;0;0;63;49;64;19;48;0;50;30;80;0;74;22;75;26;0;62;88;7;47;36;46;18;0;52;0;12;76;79;81;78;29;24;54;68;77;0;61;99;8;53;0;51;34;94;95;87;97;13;93;0;39;15;43;60;0;2;40;56;23;41;57;85;91;17;0;0,N/A
R102.txt,100,75,40,1,600,0,2093,1854,1794,2800,8541,0;23;41;59;91;95;58;0;50;90;63;11;19;94;87;2;0;0;7;62;31;20;32;0;88;36;49;10;0;92;98;85;61;99;73;75;74;100;60;0;53;1;70;80;0;27;33;69;22;72;21;13;0;42;14;57;43;15;0;6;97;93;5;0;52;18;96;83;0;28;3;78;76;79;68;29;0;54;55;24;77;0;84;8;47;64;46;48;82;0;30;71;9;35;66;0;45;16;86;38;44;37;0;34;81;51;65;0;12;67;39;56;40;4;25;26;0;89;17;0,N/A
R103.txt,100,75,40,1,600,0,1384,1769,1629,2800,7582,0;52;46;8;60;0;20;9;30;78;24;29;68;80;77;3;0;31;1;76;50;51;0;7;19;83;89;0;56;23;75;73;74;22;72;4;26;0;88;62;63;36;47;0;94;92;59;96;99;97;40;0;42;14;91;6;13;0;12;54;55;0;79;34;70;0;41;39;67;2;87;98;0;38;0;28;81;71;66;65;35;25;21;0;45;85;44;86;61;93;0;57;15;43;84;18;95;37;100;58;0;33;64;49;48;0;69;27;11;90;32;10;82;0;53;5;16;17;0;0,N/A
R104.txt,100,75,40,1,600,0,725,1708,1771,2500,6704,0;53;15;22;4;55;12;0;37;14;38;44;43;87;0;49;63;90;1;25;0;74;75;56;72;73;96;0;40;21;23;67;39;41;2;0;52;17;100;13;0;6;60;88;31;10;48;83;5;93;59;58;0;28;68;3;79;34;81;0;62;26;0;18;47;19;82;0;95;94;70;50;35;78;80;0;0;30;11;64;7;45;0;0;97;92;91;16;86;84;61;85;42;57;0;51;32;20;71;65;66;0;27;69;33;76;9;29;24;54;77;0;89;99;98;8;46;36;0;0,N/A
R105.txt,100,75,40,1,600,0,1222,1957,1991,2600,7770,0;78;35;54;4;74;0;28;23;75;87;37;13;0;0;61;38;21;25;55;67;39;0;2;22;59;5;0;52;33;81;9;76;12;80;77;3;29;0;60;96;100;97;89;0;69;6;8;84;17;92;0;31;47;7;51;68;24;0;56;41;72;0;36;11;63;0;85;98;94;91;99;82;64;19;0;42;50;0;53;30;62;48;46;45;83;95;26;0;14;44;86;16;49;18;0;0;27;34;66;32;90;10;1;0;93;57;43;15;73;40;58;0;88;20;71;65;79;70;0,N/A
R106.txt,100,75,40,1,600,0,1594,1789,1843,2600,7826,0;33;76;81;3;50;0;45;8;36;49;0;28;51;35;71;66;0;42;15;16;5;0;72;23;39;67;41;74;21;98;96;0;6;94;99;100;43;37;0;27;1;69;9;25;55;24;54;26;0;18;11;90;63;0;73;4;58;0;0;53;40;2;95;93;0;79;34;65;78;29;12;68;0;70;77;32;0;92;59;91;84;7;31;10;62;48;82;0;61;44;38;86;85;17;0;87;14;97;57;22;75;56;80;0;83;64;20;0;30;88;19;47;46;60;52;89;13;0;0,N/A
R107.txt,100,75,40,1,600,0,1058,1755,1837,2600,7250,0;90;65;66;20;1;0;50;33;78;34;68;24;55;4;58;0;92;97;87;53;89;6;94;0;7;47;19;0;0;0;45;83;88;64;49;63;70;0;96;15;22;42;13;0;2;39;75;40;72;74;73;0;69;51;81;9;35;71;0;30;26;0;46;36;48;8;0;61;44;14;38;86;17;84;60;37;100;95;0;10;52;0;32;62;11;82;5;85;91;93;0;18;99;16;98;59;43;0;0;23;67;3;79;76;80;77;12;0;31;41;56;25;29;54;0;27;28;21;57;0,N/A
R108.txt,100,75,40,1,600,0,435,1753,1732,2600,6520,0;82;87;22;39;25;55;0;69;31;20;32;10;48;88;27;0;15;42;50;77;68;0;53;2;59;95;94;89;0;6;92;91;85;93;57;41;73;4;72;0;52;18;83;8;0;98;17;16;61;99;47;49;36;0;7;46;86;44;5;96;0;26;80;24;0;37;100;14;13;58;0;51;30;62;63;70;54;28;0;29;34;0;35;65;71;66;1;12;0;0;19;11;90;64;0;40;21;75;67;23;56;74;97;0;43;38;84;45;60;0;78;3;76;79;81;9;33;0,N/A
R109.txt,100,75,40,1,600,0,1312,1780,1836,2600,7528,0;0;14;42;57;97;87;0;59;92;53;40;21;73;74;26;4;0;27;30;88;94;0;50;51;66;89;0;11;19;47;64;49;36;62;0;98;99;61;86;96;6;0;52;69;65;71;35;78;0;29;3;90;63;1;0;37;43;91;0;18;17;100;0;72;28;12;76;68;54;55;25;80;0;10;32;70;0;22;41;15;85;5;46;45;60;93;13;0;44;38;16;84;48;58;0;31;20;9;81;34;33;79;24;0;75;23;39;56;67;77;0;2;95;83;8;82;7;0,N/A
R110.txt,100,75,40,1,600,0,922,1760,1767,2600,7049,0;33;81;9;78;29;68;80;0;27;28;76;12;24;77;3;50;34;1;0;69;88;63;90;10;48;0;61;49;19;62;0;67;39;23;57;54;0;18;60;91;100;58;0;5;6;82;7;53;26;56;0;30;51;20;66;65;35;71;0;25;55;4;0;94;13;96;97;89;0;95;59;38;44;84;99;85;0;72;79;0;31;36;47;64;11;8;0;83;17;46;32;70;0;0;73;21;22;74;75;41;15;43;42;37;0;40;2;86;45;0;52;16;98;93;87;14;92;0,N/A
