File,Iterations,TabuSize,Operator,MaxTime,BestCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GTR,GrandTotal,ExecutionTime
R101.txt,100,80,1,600,0,2646,1532,1647,2500,0;0;0;0;0;59;95;99;94;6;88;90;70;0;92;98;5;61;16;86;85;37;1;51;9;78;77;0;2;42;15;41;22;57;43;87;13;58;0;53;26;4;25;80;0;14;38;44;84;8;46;48;18;89;0;40;97;91;100;93;0;83;45;82;7;19;47;36;49;0;72;21;73;75;56;74;0;96;60;17;0;69;50;68;24;0;27;62;63;11;64;32;10;0;54;55;0;28;12;76;33;81;79;3;29;34;35;0;52;31;30;0;39;23;67;0;65;71;66;20;0,8325,N/A
R102.txt,100,80,1,600,0,1558,1405,1490,2600,0;0;0;0;26;12;29;3;79;78;81;50;1;70;31;7;52;0;94;95;59;37;91;99;96;6;87;57;2;21;58;0;82;48;8;46;17;5;83;0;72;74;56;75;41;0;92;98;85;61;16;86;84;18;60;89;0;53;97;13;100;93;0;42;14;44;38;15;43;0;33;51;9;71;35;34;77;0;68;24;80;0;54;55;25;4;0;45;47;36;49;19;90;32;10;0;40;0;63;62;88;30;20;66;65;0;28;27;69;76;0;39;67;23;22;73;0;11;64;0,7053,N/A
R103.txt,100,80,1,600,0,1124,1440,1392,2500,0;0;0;28;26;12;54;24;29;78;79;3;80;21;73;2;58;0;89;18;60;5;84;61;91;16;86;17;46;48;0;52;7;82;8;19;90;1;0;94;95;97;37;98;93;96;0;50;33;81;51;9;20;66;71;35;34;77;0;31;10;63;32;70;0;59;85;14;44;99;6;0;72;75;22;41;57;43;100;0;83;47;0;76;68;55;25;0;92;42;15;40;53;0;74;13;0;45;38;87;0;27;69;30;65;0;88;62;11;64;49;36;0;39;23;67;56;4;0;0,6456,N/A
R104.txt,100,80,1,600,0,599,1348,1486,2400,0;0;0;0;27;28;26;12;3;79;78;29;24;54;80;68;77;0;89;6;94;95;97;99;37;91;61;17;45;46;36;47;0;40;21;73;72;56;75;22;2;58;0;52;18;60;5;93;96;0;70;1;50;33;81;9;51;20;32;90;63;10;0;31;88;7;82;83;0;59;98;85;16;42;87;41;74;13;0;34;35;71;65;66;30;0;55;25;39;0;57;43;14;100;0;92;86;44;38;84;0;8;48;0;19;62;11;64;49;0;0;69;76;53;0;15;23;67;4;0,5833,N/A
R105.txt,100,80,1,600,0,1434,1624,1460,2700,0;0;0;95;92;59;99;6;94;13;89;46;0;5;83;82;7;18;84;8;48;90;0;2;87;42;15;57;41;22;75;74;40;58;0;53;26;54;80;77;50;0;72;73;21;12;76;3;79;78;34;0;96;60;93;91;100;0;28;27;69;31;88;19;36;10;0;33;29;9;51;1;0;97;37;17;0;68;24;55;25;4;0;52;45;47;49;64;32;70;0;20;66;0;98;14;44;16;61;85;0;39;23;67;56;0;30;63;11;62;0;65;71;81;35;0;38;86;43;0,7218,N/A
R106.txt,100,80,1,600,0,740,1564,1446,2700,0;0;0;26;12;76;79;3;50;1;31;7;0;52;27;28;69;18;82;83;17;60;5;94;0;95;92;91;59;99;6;84;8;46;48;0;96;98;37;100;85;93;0;2;72;21;40;73;22;56;75;74;0;53;97;13;89;58;0;42;14;44;16;61;87;57;0;33;34;78;20;32;90;70;0;68;80;77;0;54;55;25;4;0;45;47;36;49;64;19;0;29;24;0;39;67;23;41;43;0;63;11;88;10;0;62;30;51;9;81;0;65;71;66;35;0;15;38;86;0,6450,N/A
R107.txt,100,80,1,600,0,698,1448,1503,2500,0;0;0;0;28;27;52;18;82;48;8;83;60;5;93;91;100;37;94;0;89;96;95;97;87;6;84;17;46;47;19;63;90;0;26;12;76;79;78;81;51;50;0;53;1;70;31;7;0;59;92;98;85;99;40;0;2;57;43;14;0;21;73;72;75;41;22;56;55;24;29;80;0;45;61;16;86;13;58;0;68;3;77;0;54;4;25;0;42;15;38;44;0;74;0;69;33;34;9;65;35;71;66;20;0;36;49;64;10;32;0;30;11;62;88;0;39;23;67;0;0,6149,N/A
R108.txt,100,80,1,600,0,426,1329,1404,2400,0;0;0;0;27;28;26;12;76;80;68;79;78;3;77;1;0;89;6;94;95;97;37;91;84;17;45;46;36;47;0;40;21;73;72;75;22;74;2;58;0;52;18;60;5;93;96;0;50;33;81;9;51;20;32;90;63;64;49;0;31;88;7;82;83;0;59;92;98;85;99;87;42;43;15;57;41;0;29;24;54;55;4;56;0;10;30;70;0;53;13;100;16;61;0;69;62;11;19;48;8;0;39;25;0;66;65;71;35;34;0;14;44;38;86;0;67;23;0,5559,N/A
R109.txt,100,80,1,600,0,648,1476,1434,2700,0;0;27;28;12;76;50;3;77;80;0;95;92;98;59;99;96;6;18;8;46;36;48;0;5;83;45;84;61;85;37;42;43;100;13;0;53;26;58;60;89;0;2;57;73;21;72;22;41;74;56;4;55;0;97;93;91;17;0;69;31;52;7;88;10;90;32;66;20;0;33;29;79;78;34;35;0;70;1;0;68;24;25;0;82;47;19;11;63;30;0;54;0;62;64;49;0;14;44;38;86;16;0;39;67;23;75;40;0;15;87;94;0;51;65;71;9;81;0,6258,N/A
R110.txt,100,80,1,600,0,732,1415,1509,2500,0;0;0;27;28;12;80;77;78;81;33;20;32;62;70;1;0;69;31;88;7;82;8;36;46;45;17;91;93;6;0;95;99;59;92;42;41;74;55;0;53;58;13;96;60;89;0;2;21;73;72;22;75;56;23;67;39;4;0;26;54;24;68;0;52;18;83;84;5;61;16;85;100;37;97;0;30;51;9;35;65;66;0;40;25;0;10;11;48;0;98;44;14;43;15;57;87;0;50;0;38;86;94;0;47;19;49;64;0;63;90;71;34;79;3;0;29;76;0,6156,N/A
R111.txt,100,80,1,600,0,566,1456,1441,2500,0;0;0;0;28;27;52;18;83;60;5;84;16;91;100;37;98;93;96;0;95;92;59;94;6;87;17;46;48;82;7;0;1;69;31;88;10;70;12;0;89;13;97;2;58;0;21;73;72;75;41;22;74;56;55;24;54;26;0;76;80;68;3;77;50;0;85;61;99;40;53;0;33;51;81;78;34;35;0;20;32;0;57;43;14;0;42;15;44;38;86;0;4;25;0;62;11;19;47;36;49;64;63;90;0;29;79;9;71;65;66;0;30;45;8;0;39;23;67;0,5963,N/A
R112.txt,100,80,1,600,0,239,1407,1395,2400,0;0;0;27;28;53;58;40;26;55;80;0;52;31;88;7;82;46;8;83;60;91;93;89;0;69;30;90;70;1;50;77;0;6;92;37;59;96;13;0;95;98;85;61;17;84;5;99;94;0;97;100;14;43;0;12;76;33;81;9;34;78;79;3;29;24;68;0;2;41;74;73;21;72;56;4;0;47;48;0;87;42;15;57;0;62;19;11;63;64;49;36;0;25;54;0;39;67;23;75;22;0;16;86;38;44;0;45;18;10;32;20;0;51;71;35;65;66;0,5441,N/A
