CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00    1236.00       0.00
    2      45.00      68.00      10.00     885.00     994.00      90.00
    3      45.00      70.00      30.00     802.00     893.00      90.00
    4     42.00      66.00      10.00      25.00     186.00      90.00
    5      42.00      68.00      10.00     699.00     810.00      90.00
    6      42.00      65.00      10.00      15.00     120.00      90.00
    7      40.00      69.00      20.00     580.00     743.00      90.00
    8      40.00      66.00      20.00     142.00     253.00      90.00
    9      38.00      68.00      20.00     220.00     359.00      90.00
   10      38.00      70.00      10.00     499.00     640.00      90.00
   11      35.00      66.00      10.00     331.00     436.00      90.00
