 CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00    1236.00       0.00
    2      45.00      68.00      10.00     760.00    1120.00      90.00
    3      45.00      70.00      30.00     668.00    1028.00      90.00
    4      42.00      66.00      10.00      16.00     376.00      90.00
    5      42.00      68.00      10.00     575.00     935.00      90.00
    6      42.00      65.00      10.00      15.00     375.00      90.00
    7      40.00      69.00      20.00     482.00     842.00      90.00
    8      40.00      66.00      20.00      18.00     378.00      90.00
    9      38.00      68.00      20.00     110.00     470.00      90.00
   10      38.00      70.00      10.00     390.00     750.00      90.00
   11      35.00      66.00      10.00     204.00     564.00      90.00
