CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00    1000.00       0.00
    2      41.00      49.00      10.00     190.00     974.00      10.00
    3      35.00      17.00       7.00      18.00     792.00      10.00
    4      55.00      45.00      13.00     289.00     822.00      10.00
    5      55.00      20.00      19.00     679.00     800.00      10.00
    6      15.00      30.00      26.00      20.00     906.00      10.00
    7      25.00      30.00       3.00     355.00     574.00      10.00
    8      20.00      50.00       5.00      72.00     669.00      10.00
    9      10.00      43.00       9.00     393.00     492.00      10.00
   10      55.00      60.00      16.00     394.00     503.00      10.00
   11      30.00      60.00      16.00     517.00     692.00      10.00
