CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     960.00       0.00
    2      25.00      85.00      20.00     613.00     853.00      10.00
    3      22.00      75.00      30.00      92.00     332.00      10.00
    4      22.00      85.00      10.00     411.00     651.00      10.00
    5      20.00      80.00      40.00     584.00     824.00      10.00
    6      20.00      85.00      20.00      40.00     280.00      10.00
    7      18.00      75.00      20.00     328.00     568.00      10.00
    8      15.00      75.00      20.00     240.00     480.00      10.00
    9      15.00      80.00      10.00     307.00     547.00      10.00
   10      10.00      35.00      20.00     311.00     551.00      10.00
   11      10.00      40.00      30.00     459.00     699.00      10.00
