  CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     960.00       0.00
    2      25.00      85.00      20.00     591.00     874.00      10.00
    3      22.00      75.00      30.00      73.00     350.00      10.00
    4      22.00      85.00      10.00     473.00     588.00      10.00
    5      20.00      80.00      40.00     418.00     913.00      10.00
    6      20.00      85.00      20.00      40.00     390.00      10.00
    7      18.00      75.00      20.00     249.00     646.00      10.00
    8      15.00      75.00      20.00     281.00     438.00      10.00
    9      15.00      80.00      10.00     272.00     581.00      10.00
   10      10.00      35.00      20.00     236.00     625.00      10.00
   11      10.00      40.00      30.00     470.00     687.00      10.00
