CUST NO.  XCOORD.   YCOORD.    DEMAND    READY TIME  DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00    1236.00       0.00
    2      45.00      68.00      10.00       0.00    1127.00      90.00
    3      45.00      70.00      30.00       0.00    1125.00      90.00
    4      42.00      66.00      10.00       0.00    1129.00      90.00
    5      42.00      68.00      10.00     727.00     782.00      90.00
    6      42.00      65.00      10.00       0.00    1130.00      90.00
    7      40.00      69.00      20.00     621.00     702.00      90.00
    8      40.00      66.00      20.00       0.00    1130.00      90.00
    9      38.00      68.00      20.00     255.00     324.00      90.00
   10      38.00      70.00      10.00     534.00     605.00      90.00
   11      35.00      66.00      10.00     357.00     410.00      90.00
   12      35.00      69.00      10.00     448.00     505.00      90.00
   13      25.00      85.00      20.00       0.00    1107.00      90.00
