CUST NO.   XCOORD.    YCOORD.   DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00    1000.00       0.00
    2      41.00      49.00      10.00     658.00     898.00      10.00
    3      35.00      17.00       7.00      93.00     333.00      10.00
    4      55.00      45.00      13.00     436.00     676.00      10.00
    5      55.00      20.00      19.00     620.00     860.00      10.00
    6      15.00      30.00      26.00      20.00     260.00      10.00
    7      25.00      30.00       3.00     345.00     585.00      10.00
    8      20.00      50.00       5.00     251.00     491.00      10.00
    9      10.00      43.00       9.00     323.00     563.00      10.00
   10      55.00      60.00      16.00     329.00     569.00      10.00
   11      30.00      60.00      16.00     485.00     725.00      10.00
   12      20.00      65.00      12.00     146.00     386.00      10.00
   13      50.00      35.00      19.00     167.00     407.00      10.00
