CUST NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     240.00       0.00
    2      25.00      85.00      20.00       0.00     191.00      10.00
    3      22.00      75.00      30.00       0.00     199.00      10.00
    4      22.00      85.00      10.00       0.00     190.00      10.00
    5      20.00      80.00      40.00     141.00     171.00      10.00
    6      20.00      85.00      20.00       0.00     189.00      10.00
    7      18.00      75.00      20.00       0.00     196.00      10.00
    8      15.00      75.00      20.00       0.00     194.00      10.00
    9      15.00      80.00      10.00      91.00     121.00      10.00
   10      10.00      35.00      20.00      91.00     121.00      10.00
   11      10.00      40.00      30.00       0.00     198.00      10.00
   12       8.00      40.00      40.00      59.00      89.00      10.00
   13       8.00      45.00      20.00       0.00     197.00      10.00
