CUST NO.  XCOORD.    YCOORD.     DEMAND  READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     240.00       0.00
    2      25.00      85.00      20.00     130.00     190.00      10.00
    3      22.00      75.00      30.00      35.00      95.00      10.00
    4      22.00      85.00      10.00      94.00     154.00      10.00
    5      20.00      80.00      40.00     126.00     186.00      10.00
    6      20.00      85.00      20.00      40.00     100.00      10.00
    7      18.00      75.00      20.00      80.00     140.00      10.00
    8      15.00      75.00      20.00      64.00     124.00      10.00
    9      15.00      80.00      10.00      76.00     136.00      10.00
   10      10.00      35.00      20.00      76.00     136.00      10.00
   11      10.00      40.00      30.00     104.00     164.00      10.00
   12       8.00      40.00      40.00      44.00     104.00      10.00
   13       8.00      45.00      20.00      49.00     109.00      10.00
