CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00    3390.00       0.00
    2      52.00      75.00      10.00       0.00    3272.00      90.00
    3      45.00      70.00      30.00       0.00    3279.00      90.00
    4      62.00      69.00      10.00       0.00    3270.00      90.00
    5      60.00      66.00      10.00    1261.00    1421.00      90.00
    6      42.00      65.00      10.00       0.00    3284.00      90.00
    7      16.00      42.00      20.00     497.00     657.00      90.00
    8      58.00      70.00      20.00       0.00    3273.00      90.00
    9      34.00      60.00      20.00    2887.00    3047.00      90.00
   10      28.00      70.00      10.00    2601.00    2761.00      90.00
   11      35.00      66.00      10.00    2791.00    2951.00      90.00
   12      35.00      69.00      10.00    2698.00    2858.00      90.00
   13      25.00      85.00      20.00       0.00    3261.00      90.00
   14      22.00      75.00      30.00    2405.00    2565.00      90.00
