CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00     230.00       0.00
    2      41.00      49.00      10.00     133.00     198.00      10.00
    3      35.00      17.00       7.00      22.00      87.00      10.00
    4      55.00      45.00      13.00      98.00     143.00      10.00
    5      55.00      20.00      19.00     123.00     184.00      10.00
    6      15.00      30.00      26.00      20.00      93.00      10.00
    7      25.00      30.00       3.00      76.00     131.00      10.00
    8      20.00      50.00       5.00      61.00     110.00      10.00
    9      10.00      43.00       9.00      75.00     124.00      10.00
   10      55.00      60.00      16.00      74.00     129.00      10.00
   11      30.00      60.00      16.00     107.00     150.00      10.00
   12      20.00      65.00      12.00      42.00     101.00      10.00
   13      50.00      35.00      19.00      38.00      97.00      10.00
   14      30.00      25.00      23.00     131.00     196.00      10.00
