 CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00    1000.00       0.00
    2      41.00      49.00      10.00     451.00     974.00      10.00
    3      35.00      17.00       7.00      18.00     534.00      10.00
    4      55.00      45.00      13.00     378.00     733.00      10.00
    5      55.00      20.00      19.00     477.00     965.00      10.00
    6      15.00      30.00      26.00      20.00     610.00      10.00
    7      25.00      30.00       3.00     245.00     684.00      10.00
    8      20.00      50.00       5.00     172.00     569.00      10.00
    9      10.00      43.00       9.00     245.00     640.00      10.00
   10      55.00      60.00      16.00     231.00     666.00      10.00
   11      30.00      60.00      16.00     430.00     779.00      10.00
   12      20.00      65.00      12.00      33.00     511.00      10.00
   13      50.00      35.00      19.00      50.00     523.00      10.00
   14      30.00      25.00      23.00     462.00     978.00      10.00
