CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     240.00       0.00
    2      25.00      85.00      20.00     125.00     191.00      10.00
    3      22.00      75.00      30.00      32.00      97.00      10.00
    4      22.00      85.00      10.00     101.00     146.00      10.00
    5      20.00      80.00      40.00      71.00     193.00      10.00
    6      20.00      85.00      20.00      40.00     113.00      10.00
    7      18.00      75.00      20.00      55.00     164.00      10.00
    8      15.00      75.00      20.00      69.00     118.00      10.00
    9      15.00      80.00      10.00      56.00     155.00      10.00
   10      10.00      35.00      20.00      51.00     160.00      10.00
   11      10.00      40.00      30.00      90.00     177.00      10.00
   12       8.00      40.00      40.00      33.00     152.00      10.00
   13       8.00      45.00      20.00      49.00     108.00      10.00
   14       5.00      35.00      10.00      62.00     191.00      10.00
