CUST NO.   XCOORD.   YCOORD.    DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00    3390.00       0.00
    2      52.00      75.00      10.00     231.00     551.00      90.00
    3      45.00      70.00      30.00     133.00     453.00      90.00
    4      62.00      69.00      10.00    1087.00    1407.00      90.00
    5      60.00      66.00      10.00    1181.00    1501.00      90.00
    6      42.00      65.00      10.00      15.00     335.00      90.00
    7      16.00      42.00      20.00     417.00     737.00      90.00
    8      58.00      70.00      20.00     993.00    1313.00      90.00
    9      34.00      60.00      20.00    2807.00    3127.00      90.00
   10      28.00      70.00      10.00    2521.00    2841.00      90.00
   11      35.00      66.00      10.00    2711.00    3031.00      90.00
   12      35.00      69.00      10.00    2618.00    2938.00      90.00
   13      25.00      85.00      20.00    2039.00    2359.00      90.00
   14      22.00      75.00      30.00    2325.00    2645.00      90.00
   15      22.00      85.00      10.00    1946.00    2266.00      90.00
   16      20.00      80.00      40.00    2136.00    2456.00      90.00
