CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00    3390.00       0.00
    2      52.00      75.00      10.00      71.00     711.00      90.00
    3      45.00      70.00      30.00      20.00     660.00      90.00
    4      62.00      69.00      10.00     927.00    1567.00      90.00
    5      60.00      66.00      10.00    1021.00    1661.00      90.00
    6      42.00      65.00      10.00      15.00     655.00      90.00
    7      16.00      42.00      20.00     257.00     897.00      90.00
    8      58.00      70.00      20.00     833.00    1473.00      90.00
    9      34.00      60.00      20.00    2647.00    3287.00      90.00
   10      28.00      70.00      10.00    2361.00    3001.00      90.00
   11      35.00      66.00      10.00    2551.00    3191.00      90.00
   12      35.00      69.00      10.00    2458.00    3098.00      90.00
   13      25.00      85.00      20.00    1879.00    2519.00      90.00
   14      22.00      75.00      30.00    2165.00    2805.00      90.00
   15      22.00      85.00      10.00    1786.00    2426.00      90.00
   16      20.00      80.00      40.00    1976.00    2616.00      90.00
