 CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     960.00       0.00
    2      25.00      85.00      20.00     673.00     793.00      10.00
    3      22.00      75.00      30.00     152.00     272.00      10.00
    4      22.00      85.00      10.00     471.00     591.00      10.00
    5      20.00      80.00      40.00     644.00     764.00      10.00
    6      20.00      85.00      20.00      73.00     193.00      10.00
    7      18.00      75.00      20.00     388.00     508.00      10.00
    8      15.00      75.00      20.00     300.00     420.00      10.00
    9      15.00      80.00      10.00     367.00     487.00      10.00
   10      10.00      35.00      20.00     371.00     491.00      10.00
   11      10.00      40.00      30.00     519.00     639.00      10.00
   12       8.00      40.00      40.00     195.00     315.00      10.00
   13       8.00      45.00      20.00     223.00     343.00      10.00
   14       5.00      35.00      10.00     653.00     773.00      10.00
   15       5.00      45.00      10.00      35.00     155.00      10.00
   16       2.00      40.00      20.00     174.00     294.00      10.00
