File,Iterations,TabuSize,Operator,MaxTime,BestCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,ExecutionTime
C101.txt,100,20,SwapMove,600,0,7050,2690,283,4600,14623,601689
C101.txt,100,20,InsertMove,600,0,7350,3022,1019,4500,15891,601736
C101.txt,100,20,ReverseMove,600,0,8374,3195,637,4600,16806,600008
C101.txt,100,20,TwoOptMove,600,0,8467,3207,637,4600,16911,601690
C101.txt,100,40,SwapMove,600,0,7050,2690,283,4600,14623,601205
C101.txt,100,40,InsertMove,600,0,7350,3022,1019,4500,15891,602131
C101.txt,100,40,ReverseMove,600,0,8374,3195,637,4600,16806,600083
C101.txt,100,40,TwoOptMove,600,0,8467,3207,637,4600,16911,600911
C101.txt,100,80,SwapMove,600,0,7121,2621,233,4600,14575,600302
C101.txt,100,80,InsertMove,600,0,7350,3022,1019,4500,15891,600463
C101.txt,100,80,ReverseMove,600,0,8374,3195,637,4600,16806,601887
C101.txt,100,80,TwoOptMove,600,0,8374,3195,637,4600,16806,600184
