File,Iterations,TabuSize,Operator,MaxTime,BestCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,ExecutionTime
R201.txt,100,20,SwapMove,600,0,995,3022,30,2300,6347,600197
R201.txt,100,20,InsertMove,600,0,526,2251,60,1500,4337,600397
R201.txt,100,20,ReverseMove,600,0,3509,3027,60,2100,8696,600084
R201.txt,100,20,TwoOptMove,600,0,3576,3093,65,2100,8834,600110
R201.txt,100,40,SwapMove,600,0,405,2603,598,1600,5206,600560
R201.txt,100,40,InsertMove,600,0,480,2029,78,1300,3887,600575
R201.txt,100,40,ReverseMove,600,0,2688,3354,52,2000,8094,600571
R201.txt,100,40,TwoOptMove,600,0,3576,3093,65,2100,8834,600010
R201.txt,100,80,SwapMove,600,0,956,3014,26,2200,6196,600439
R201.txt,100,80,InsertMove,600,0,544,2193,110,1300,4147,600647
R201.txt,100,80,ReverseMove,600,0,3457,3078,65,2100,8700,600666
R201.txt,100,80,TwoOptMove,600,0,3576,3093,65,2100,8834,600333
