File,Iterations,TabuSize,Operator,MaxTime,BestCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,ExecutionTime
RC201.txt,100,20,SwapMove,600,0,458,3700,5,2900,7063,600292
RC201.txt,100,20,InsertMove,600,0,498,2553,14,1800,4865,600633
RC201.txt,100,20,ReverseMove,600,0,3004,3813,0,2900,9717,600394
RC201.txt,100,20,TwoOptMove,600,0,3041,3853,5,2900,9799,600212
RC201.txt,100,40,SwapMove,600,0,460,3698,5,2900,7063,600235
RC201.txt,100,40,InsertMove,600,0,498,2553,14,1800,4865,600618
RC201.txt,100,40,ReverseMove,600,0,2948,3869,2,2900,9719,600742
RC201.txt,100,40,TwoOptMove,600,0,3041,3853,5,2900,9799,600377
RC201.txt,100,80,SwapMove,600,0,460,3698,5,2900,7063,600293
RC201.txt,100,80,InsertMove,600,0,498,2553,14,1800,4865,600613
RC201.txt,100,80,ReverseMove,600,0,2963,3857,2,2900,9722,600081
RC201.txt,100,80,TwoOptMove,600,0,3027,3842,2,2900,9771,600175
